data_id,data,ano,mes,dia,dia_da_semana,trimestre,fim_de_semana
20240101,2024-01-01,2024,1,1,Monday,1,False
20240102,2024-01-02,2024,1,2,Tuesday,1,False
20240103,2024-01-03,2024,1,3,Wednesday,1,False
20240104,2024-01-04,2024,1,4,Thursday,1,False
20240105,2024-01-05,2024,1,5,Friday,1,False
20240106,2024-01-06,2024,1,6,Saturday,1,True
20240107,2024-01-07,2024,1,7,Sunday,1,True
20240108,2024-01-08,2024,1,8,Monday,1,False
20240109,2024-01-09,2024,1,9,Tuesday,1,False
20240110,2024-01-10,2024,1,10,Wednesday,1,False
20240111,2024-01-11,2024,1,11,Thursday,1,False
20240112,2024-01-12,2024,1,12,Friday,1,False
20240113,2024-01-13,2024,1,13,Saturday,1,True
20240114,2024-01-14,2024,1,14,Sunday,1,True
20240115,2024-01-15,2024,1,15,Monday,1,False
20240116,2024-01-16,2024,1,16,Tuesday,1,False
20240117,2024-01-17,2024,1,17,Wednesday,1,False
20240118,2024-01-18,2024,1,18,Thursday,1,False
20240119,2024-01-19,2024,1,19,Friday,1,False
20240120,2024-01-20,2024,1,20,Saturday,1,True
20240121,2024-01-21,2024,1,21,Sunday,1,True
20240122,2024-01-22,2024,1,22,Monday,1,False
20240123,2024-01-23,2024,1,23,Tuesday,1,False
20240124,2024-01-24,2024,1,24,Wednesday,1,False
20240125,2024-01-25,2024,1,25,Thursday,1,False
20240126,2024-01-26,2024,1,26,Friday,1,False
20240127,2024-01-27,2024,1,27,Saturday,1,True
20240128,2024-01-28,2024,1,28,Sunday,1,True
20240129,2024-01-29,2024,1,29,Monday,1,False
20240130,2024-01-30,2024,1,30,Tuesday,1,False
20240131,2024-01-31,2024,1,31,Wednesday,1,False
20240201,2024-02-01,2024,2,1,Thursday,1,False
20240202,2024-02-02,2024,2,2,Friday,1,False
20240203,2024-02-03,2024,2,3,Saturday,1,True
20240204,2024-02-04,2024,2,4,Sunday,1,True
20240205,2024-02-05,2024,2,5,Monday,1,False
20240206,2024-02-06,2024,2,6,Tuesday,1,False
20240207,2024-02-07,2024,2,7,Wednesday,1,False
20240208,2024-02-08,2024,2,8,Thursday,1,False
20240209,2024-02-09,2024,2,9,Friday,1,False
20240210,2024-02-10,2024,2,10,Saturday,1,True
20240211,2024-02-11,2024,2,11,Sunday,1,True
20240212,2024-02-12,2024,2,12,Monday,1,False
20240213,2024-02-13,2024,2,13,Tuesday,1,False
20240214,2024-02-14,2024,2,14,Wednesday,1,False
20240215,2024-02-15,2024,2,15,Thursday,1,False
20240216,2024-02-16,2024,2,16,Friday,1,False
20240217,2024-02-17,2024,2,17,Saturday,1,True
20240218,2024-02-18,2024,2,18,Sunday,1,True
20240219,2024-02-19,2024,2,19,Monday,1,False
20240220,2024-02-20,2024,2,20,Tuesday,1,False
20240221,2024-02-21,2024,2,21,Wednesday,1,False
20240222,2024-02-22,2024,2,22,Thursday,1,False
20240223,2024-02-23,2024,2,23,Friday,1,False
20240224,2024-02-24,2024,2,24,Saturday,1,True
20240225,2024-02-25,2024,2,25,Sunday,1,True
20240226,2024-02-26,2024,2,26,Monday,1,False
20240227,2024-02-27,2024,2,27,Tuesday,1,False
20240228,2024-02-28,2024,2,28,Wednesday,1,False
20240229,2024-02-29,2024,2,29,Thursday,1,False
20240301,2024-03-01,2024,3,1,Friday,1,False
20240302,2024-03-02,2024,3,2,Saturday,1,True
20240303,2024-03-03,2024,3,3,Sunday,1,True
20240304,2024-03-04,2024,3,4,Monday,1,False
20240305,2024-03-05,2024,3,5,Tuesday,1,False
20240306,2024-03-06,2024,3,6,Wednesday,1,False
20240307,2024-03-07,2024,3,7,Thursday,1,False
20240308,2024-03-08,2024,3,8,Friday,1,False
20240309,2024-03-09,2024,3,9,Saturday,1,True
20240310,2024-03-10,2024,3,10,Sunday,1,True
20240311,2024-03-11,2024,3,11,Monday,1,False
20240312,2024-03-12,2024,3,12,Tuesday,1,False
20240313,2024-03-13,2024,3,13,Wednesday,1,False
20240314,2024-03-14,2024,3,14,Thursday,1,False
20240315,2024-03-15,2024,3,15,Friday,1,False
20240316,2024-03-16,2024,3,16,Saturday,1,True
20240317,2024-03-17,2024,3,17,Sunday,1,True
